,work_id,fable_name,top_frequency,top_frequency_in_work,top_tf-idf,top_ctf-idf,x_umap,y_umap
44,tlg0614.tlg001,Babrius - 117) A Double Standard of Justice,θεός αὐτός εἰμί μηδείς πολύς,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,μυρμήκες ἄδικος θεός μηδείς εἷς,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.4869363,2.0186071
45,tlg0614.tlg001,Babrius - 128) The Dog and the Sheep,ἐγώ καί σύ δʼ ἐν,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,εὐθαλής ἐγώ μέσος τοῖα δρηστήρ,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.3275112,3.046331
46,tlg0614.tlg001,Babrius - 37) The Old Bull and the Young Steer,καί βοῦς δʼ θύω εἰς,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,θύω βοῦς γέρων ἀγρότας ἄφετος,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.197991,1.707861
47,tlg0614.tlg001,Babrius - 4) The Fisherman and the Fish,δʼ μέγας εἰς εἰμί ἀνείλετʼ,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,μέγας δικτύου ἐχθύω σπανίος ἡπλόω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.3425756,4.1993175
48,tlg0614.tlg001,Babrius - 9) The Fisherman with the Flute,καί πρός εἰμί δέ κερτομέω,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ηὔλει κερτομέω βάλλω ἡδυφωνία πάλαι,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.615149,3.25433
49,tlg0614.tlg001,Babrius - 126) Truth and Falsehood,ψεῦδος δʼ εἰμί καί οὗτος,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ψεῦδος ἐρημία διά νῦν ὁδοιπορῶν,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.4684393,4.3273044
50,tlg0614.tlg001,Babrius - 5) The Fighting Cocks,ἄλλος καί δʼ εἰς ἄνθρωπος,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ἄλλος ἥττα ἠν αἰετός τραυμάτον,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.5177343,3.195868
51,tlg0614.tlg001,Babrius - 23) Better Lose the Ox than Catch the Thief,δʼ εἰ γε ταῦρος κλέπτης,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,εὐχή κλέπτης γε ταῦρος παήν,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.1477134,5.1508074
52,tlg0614.tlg001,Babrius - 53) Three True Statements,δʼ ἐγώ εἰς εἴθε μή,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,εἴθε ζωγρέω μηδέ ἐγώ δʼ,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.7488942,4.2056556
53,tlg0614.tlg001,Babrius - 110) Always Ready to Go,σύ πρός ἐν τίς δέ,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,βαρδύνω ἑστώσης ἄρασά ποίει κατεπείγω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.1664677,4.3918095
54,tlg0614.tlg001,Babrius - 46) Too Many Friends,ἔλαφος ἐκ ὅς οὗτος ἔχω,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ἔλαφος πω ὕλας κατεσκλήκει ἀναπίμπλημι,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.7468455,3.8593967
55,tlg0614.tlg001,Babrius - 63) Hero-Cult,τις εἰ ἥρως κακός αἰτέω,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ἥρως αἰτέω παρέχω κακός θύω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.103813,2.614423
56,tlg0614.tlg001,Babrius - 121) Unwelcome Solicitude,εἶπον μόνος πρός πῶς ἄν,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,διαθέσει ἀποθνήω παρκύνπτω ἠσθένησε χρηστότης,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.1123033,4.630983
57,tlg0614.tlg001,Babrius - 1) The Lion and the Bowman,δέ καί αὐτός γιγνώσκω λέων,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,λέων γιγνώσκω θαρσέω ἄγγελος μένω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.5302424,4.614283
58,tlg0614.tlg001,Babrius - 109) Show me How,μήτηρ μή ποιέω σύρω βαίνω,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,μήτηρ σκαλίη ἔλεγεκαρκίνῳ ἐναντίος διδα,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.766974,2.3002458
59,tlg0614.tlg001,Babrius - 92) Interested only in the Tracks,δʼ ἴχνος δέ λέοντά λέων,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,λέοντά ἴχνος λέων ἴχνευεν εἰπέ,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.4030383,4.8324776
60,tlg0614.tlg001,Babrius - 122) Doctor Wolf,ἐγώ λύκος χάρις τε εἶπον,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,λύκος χωλός χάρις τʼ ἐγώ,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.0594642,5.6521273
61,tlg0614.tlg001,Babrius - 88) How the Lark Knew When to Leave,καί φίλος παῖς εἶπον νῦν,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,παῖς φίλος κορυδαλὸς νῦν μισθός,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.8582494,3.7156959
62,tlg0614.tlg001,Babrius - 3) The Goat and the Goatherd,δʼ καί χίμαιρα μή κέρας,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,χίμαιρα κρύπτω λίθος κέρας ἁμαρτηθέντα,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.0512865,4.3545337
63,tlg0614.tlg001,Babrius - 39) Mediation à la Mode,εἰ στάσις οὗτος φαλαίνη τύραννος,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,μεσιτεύω φαλαίνη καρκίνος τύραννος δελφῖνς,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.2748694,2.4620345
64,tlg0614.tlg001,Babrius - 76) The Knight and his Horse,ἵππος ἐκ καί δʼ πόλεμος,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ἵππος ἱππεύς πόλεμος οὐκέτʼ αὖ,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-0.70040953,2.4812963
65,tlg0614.tlg001,Babrius - 19) The Fox and the Grapes,πέπειρος εἰς γάρ βότρυς οὐ,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,πέπειρος βότρυς ὄμφαξ κοπιάω ποικίλη,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.5291657,3.8216248
66,tlg0614.tlg001,Babrius - 89) The Wolf and the Lamb,οὐ ἐγώ οὐδʼ ὅς τις,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ἀρήν οὐδʼ λύκος ἐγώ οὐ,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.7232934,5.385814
67,tlg0614.tlg001,Babrius - 65) Crane and Peacock,γέρανος σύν σύ ὡς εὐφυής,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,γέρανος σύν εὐφυής κράζω καταχρύσοις,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.5872025,4.3644824
68,tlg0614.tlg001,Babrius - 26) The Farmer and the Cranes,δʼ φεύγω ὡς μή λόγος,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,δʼ φεύγω πυγμαίων ὀδύνη πειραθεῖεν,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-0.9582129,4.6689105
69,tlg0614.tlg001,Babrius - 45) The Outcome of a Foreign Investment,δʼ αἴξ οὐ δέ ἐκ,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,αἴξ αἰπόλος κρείσσων δʼ εὑρίσκω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-0.7342266,4.200089
70,tlg0614.tlg001,Babrius - 114) The Boasting Lamp,λύχνος δέ φέγγος σίγα αὐτός,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,φέγγος λύχνος μόνιμος σίγα φυσιόω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.2351925,2.7587464
71,tlg0614.tlg001,Babrius - 33) Outwitting the Birds,δʼ καί μέν σφενδόνη φεύγω,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,σφενδόνη ἄρτος δʼ ψᾶρς κολοιός,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.0766538,4.6386867
72,tlg0614.tlg001,Babrius - 66) The Two Wallets,δέ ἄνθρωπος φημί εἰμί μέν,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ὀθνείων γέμω ἀκριβῶς τένοντός πλάομαί,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.043088,3.5179584
